geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
31579,-7.254002,-47.41024,cidade 1 mt,MT
31579,-21.781858,-42.551017,cidade 1 mt,MT
44760,-10.870671,-39.010656,anapolis,GO
44760,-30.363298,-69.576671,anapolis,GO
44760,-12.125372,-39.016602,anapolis,GO
47388,-22.230703,-57.850244,cidade 2 al,AL
47388,-12.596998,-35.642344,cidade 2 al,AL
82845,-20.04289,-57.941059,olinda,PE
30289,-4.748033,-54.060648,cidade 2 pb,PB
30289,-8.313759,-37.396439,cidade 2 pb,PB
17665,-3.025829,-45.006332,porto alegre,RS
17665,-15.339899,-62.08331,porto alegre,RS
17989,-25.678128,-57.310033,cidade 3 ma,MA
16572,-28.192031,-62.597705,cidade 1 es,ES
16572,-8.968662,-44.194597,cidade 1 es,ES
79615,-28.664988,-57.080139,cidade 3 ma,MA
79615,-24.957867,-45.495061,cidade 3 ma,MA
79615,-26.435049,-35.647791,cidade 3 ma,MA
20500,-31.530977,-35.247901,pelotas,RS
20500,-24.062599,-71.606495,pelotas,RS
20500,-12.196236,-38.916536,pelotas,RS
87992,-18.245884,-60.401507,cidade 1 mt,MT
62923,-25.092325,-42.820153,rio de janeiro,RJ
62923,-32.310756,-71.36012,rio de janeiro,RJ
62923,-11.870942,-37.307096,rio de janeiro,RJ
42271,-25.707094,-38.305292,contagem,MG
42271,-13.703197,-38.973771,contagem,MG
42271,-21.905448,-45.489685,contagem,MG
91183,-9.557682,-66.614297,cidade 1 ma,MA
86503,-28.421109,-40.277529,nova iguacu,RJ
86503,-20.720193,-50.969307,nova iguacu,RJ
44179,-19.551715,-55.775494,cidade 2 ma,MA
44179,-19.653834,-48.464445,cidade 2 ma,MA
51180,-21.382851,-62.881225,maringa,PR
51180,-17.347708,-49.374317,maringa,PR
51180,-5.627979,-72.452761,maringa,PR
27154,-9.893224,-55.906065,londrina,PR
27154,-31.137594,-72.344088,londrina,PR
27154,-31.465309,-72.466514,londrina,PR
69929,-24.193285,-41.082992,cidade 2 pb,PB
11220,-16.784122,-73.537607,salvador,BA
11220,-21.047159,-48.869364,salvador,BA
23104,-30.315442,-45.009367,sobral,CE
76307,-23.771289,-50.971288,rio de janeiro,RJ
76307,-33.062161,-62.972897,rio de janeiro,RJ
19016,-31.45267,-71.763385,joinville,SC
19016,-2.403077,-45.626908,joinville,SC
19016,-19.509923,-46.583489,joinville,SC
47353,-31.394219,-41.057812,cidade 2 mt,MT
47353,-24.221942,-51.612391,cidade 2 mt,MT
47353,-1.426084,-62.825736,cidade 2 mt,MT
49651,-26.981564,-46.023996,pelotas,RS
49651,-20.319777,-71.687002,pelotas,RS
49651,-25.143725,-68.813412,pelotas,RS
79329,-18.893021,-47.654317,cidade 3 ms,MS
49240,-11.572628,-65.808478,guarulhos,SP
49240,-32.756144,-60.292578,guarulhos,SP
27601,-26.690033,-59.650695,cidade 1 al,AL
82512,-17.111883,-52.409301,florianopolis,SC
82512,-32.443634,-57.663482,florianopolis,SC
82512,-8.804243,-56.505497,florianopolis,SC
89276,-12.786321,-63.4496,caxias do sul,RS
89276,-25.144409,-64.987382,caxias do sul,RS
36685,-22.972159,-73.078135,londrina,PR
76244,-29.809771,-45.772363,cidade 2 pb,PB
76244,-3.617977,-55.361557,cidade 2 pb,PB
22097,-28.658565,-60.498031,fortaleza,CE
22097,-26.260209,-58.718196,fortaleza,CE
22097,-30.317623,-60.803301,fortaleza,CE
15778,-31.139492,-46.164304,cidade 2 ms,MS
93507,-5.759857,-55.488492,sao paulo,SP
67912,-25.429437,-44.520074,cidade 1 pi,PI
83519,-27.472299,-69.526185,cidade 2 ma,MA
83519,-21.009763,-48.596162,cidade 2 ma,MA
83519,-20.073871,-61.168392,cidade 2 ma,MA
29536,-25.471411,-46.627281,sao paulo,SP
29536,-17.585288,-36.87043,sao paulo,SP
29536,-22.467256,-69.149885,sao paulo,SP
86350,-32.536124,-66.077331,cidade 2 pa,PA
86350,-4.736948,-66.592499,cidade 2 pa,PA
86350,-33.477251,-68.229266,cidade 2 pa,PA
26704,-32.671528,-48.565119,cidade 2 ma,MA
26704,-23.810312,-42.08494,cidade 2 ma,MA
26704,-9.552033,-62.144932,cidade 2 ma,MA
15229,-15.973966,-56.815031,campinas,SP
99399,-9.808033,-57.145111,cidade 1 mt,MT
56357,-29.554978,-43.959121,curitiba,PR
56357,-26.263378,-64.719731,curitiba,PR
56357,-32.44107,-47.618822,curitiba,PR
91351,-9.947121,-49.927763,cidade 2 am,AM
91351,-26.02707,-70.992056,cidade 2 am,AM
91351,-5.552242,-35.460741,cidade 2 am,AM
31299,-6.654197,-43.691622,cidade 1 es,ES
31299,-32.868589,-50.632309,cidade 1 es,ES
31299,-11.638863,-69.432288,cidade 1 es,ES
64040,-5.875764,-56.239698,cidade 1 pi,PI
64040,-10.854456,-35.036927,cidade 1 pi,PI
64040,-14.732428,-48.024962,cidade 1 pi,PI
53540,-27.733167,-53.53722,guarulhos,SP
53540,-5.998865,-61.939161,guarulhos,SP
53540,-31.216968,-46.139851,guarulhos,SP
97806,-13.589296,-42.599591,cidade 2 am,AM
97806,-25.150562,-66.403821,cidade 2 am,AM
44970,-23.015926,-72.181466,cidade 1 mt,MT
44970,-20.612854,-63.710584,cidade 1 mt,MT
44970,-28.089119,-64.404607,cidade 1 mt,MT
24168,-19.698167,-50.626996,pelotas,RS
24168,-20.983027,-56.79979,pelotas,RS
24168,-24.70571,-71.454221,pelotas,RS
71694,-32.487923,-71.160261,goiania,GO
55830,-15.4335,-45.373027,londrina,PR
39219,-5.341646,-68.09703,salvador,BA
39219,-24.943803,-73.148103,salvador,BA
39219,-19.938038,-55.493823,salvador,BA
62227,-17.012051,-47.968031,sao paulo,SP
62227,-18.986808,-54.052888,sao paulo,SP
62227,-33.326211,-73.780953,sao paulo,SP
46585,-4.92821,-64.068538,salvador,BA
46585,-31.961995,-50.06153,salvador,BA
46585,-26.494306,-59.882239,salvador,BA
62386,-11.263922,-39.241363,rio verde,GO
62386,-27.530849,-44.106846,rio verde,GO
62386,-1.614302,-56.132756,rio verde,GO
53404,-31.931174,-66.850632,cidade 3 pb,PB
44237,-8.136064,-58.833027,cidade 1 al,AL
15014,-21.187785,-67.488554,caxias do sul,RS
15014,-31.040246,-41.593006,caxias do sul,RS
15014,-4.079287,-50.845449,caxias do sul,RS
55309,-10.008005,-47.342927,uberlandia,MG
55309,-21.3822,-40.952166,uberlandia,MG
67199,-31.828352,-47.234647,cidade 2 es,ES
67199,-4.105819,-57.537633,cidade 2 es,ES
25157,-20.02838,-69.585127,cidade 3 ms,MS
25157,-30.875831,-36.19717,cidade 3 ms,MS
25157,-15.783939,-73.835659,cidade 3 ms,MS
34914,-13.51945,-44.876686,rio verde,GO
67154,-12.437264,-47.640074,blumenau,SC
97900,-21.068107,-54.998779,guarulhos,SP
97900,-9.235663,-73.093037,guarulhos,SP
19171,-20.217332,-39.179747,caxias do sul,RS
19171,-27.020901,-41.985612,caxias do sul,RS
19171,-14.464468,-35.966181,caxias do sul,RS
91678,-21.066554,-46.443619,cidade 2 al,AL
49363,-1.484861,-57.157048,salvador,BA
49363,-8.116951,-60.591591,salvador,BA
49363,-33.060451,-48.657371,salvador,BA
63528,-32.507549,-41.389198,cidade 3 pa,PA
63528,-32.128036,-50.110904,cidade 3 pa,PA
63528,-15.98672,-72.216702,cidade 3 pa,PA
48752,-13.612691,-59.796352,ilheus,BA
48752,-11.353531,-50.809894,ilheus,BA
48752,-17.388291,-72.506004,ilheus,BA
65108,-4.916183,-37.610247,cidade 1 ma,MA
65108,-23.634371,-70.856762,cidade 1 ma,MA
98777,-9.513486,-43.603897,cidade 2 pb,PB
98777,-6.431588,-63.685153,cidade 2 pb,PB
98777,-20.205702,-58.55567,cidade 2 pb,PB
90676,-33.284896,-66.859713,cidade 1 es,ES
90676,-13.167069,-36.656158,cidade 1 es,ES
81819,-2.411837,-56.68748,cidade 2 ma,MA
81819,-30.721545,-69.299856,cidade 2 ma,MA
81819,-13.339759,-69.616259,cidade 2 ma,MA
47606,-13.955046,-52.918936,cidade 2 rn,RN
47606,-20.358251,-53.494615,cidade 2 rn,RN
89516,-33.236577,-68.663251,maringa,PR
89516,-3.160855,-56.30818,maringa,PR
89516,-24.685612,-41.309221,maringa,PR
67905,-30.677508,-69.251017,cidade 2 pb,PB
67905,-18.252942,-56.739548,cidade 2 pb,PB
67905,-21.705404,-36.010357,cidade 2 pb,PB
77000,-8.176176,-62.988105,recife,PE
77000,-7.028988,-60.645464,recife,PE
77000,-5.573209,-45.051608,recife,PE
32241,-22.963337,-56.470189,sobral,CE
77561,-3.349158,-40.286736,cidade 2 pb,PB
77561,-4.851799,-49.626933,cidade 2 pb,PB
77561,-32.006278,-52.849334,cidade 2 pb,PB
53933,-20.984702,-38.428775,cidade 3 pb,PB
53933,-3.117453,-71.597484,cidade 3 pb,PB
53933,-19.988633,-62.516525,cidade 3 pb,PB
98184,-19.420045,-59.821327,rio de janeiro,RJ
98184,-20.920982,-36.695706,rio de janeiro,RJ
29313,-8.7637,-61.192861,salvador,BA
72277,-4.998029,-64.190181,sao paulo,SP
69692,-11.131293,-35.634423,cidade 1 ms,MS
69692,-24.512116,-50.500341,cidade 1 ms,MS
69692,-29.286863,-73.859372,cidade 1 ms,MS
85454,-28.183797,-55.984621,olinda,PE
60328,-9.06954,-45.935413,pelotas,RS
29342,-17.789684,-70.420197,fortaleza,CE
23970,-29.963656,-64.161049,cidade 1 pb,PB
33053,-7.788835,-73.684095,cidade 1 am,AM
77889,-6.339459,-63.848059,cidade 3 rn,RN
42662,-7.448435,-58.063928,sobral,CE
69829,-11.562875,-72.938623,cidade 1 al,AL
69829,-18.711567,-54.777539,cidade 1 al,AL
69829,-16.895751,-42.360395,cidade 1 al,AL
97500,-30.025205,-58.23853,uberlandia,MG
97500,-30.974926,-73.177577,uberlandia,MG
88047,-25.27839,-63.504826,cidade 3 pa,PA
88047,-14.345081,-62.924768,cidade 3 pa,PA
90301,-24.367574,-47.648508,feira de santana,BA
90301,-4.891431,-58.311657,feira de santana,BA
90301,-31.280981,-36.418334,feira de santana,BA
65933,-29.658047,-67.295936,cidade 3 rn,RN
68446,-11.418883,-39.431556,cidade 3 rn,RN
68446,-29.428853,-69.807997,cidade 3 rn,RN
72216,-25.025274,-48.556111,cidade 3 mt,MT
72216,-6.012299,-72.429718,cidade 3 mt,MT
93579,-21.375452,-44.744453,fortaleza,CE
93579,-27.883415,-48.497121,fortaleza,CE
93579,-6.198952,-57.780271,fortaleza,CE
73517,-23.005736,-68.343314,blumenau,SC
73517,-30.760074,-53.161311,blumenau,SC
73517,-23.458841,-52.749659,blumenau,SC
67654,-4.525804,-39.744382,cidade 2 ms,MS
67654,-13.520213,-38.801432,cidade 2 ms,MS
40735,-12.101784,-56.313258,niteroi,RJ
80798,-22.321446,-39.616184,joinville,SC
80798,-2.582522,-53.089353,joinville,SC
40311,-26.165106,-62.403191,rio de janeiro,RJ
38043,-20.436989,-43.210589,goiania,GO
38043,-23.889569,-63.928846,goiania,GO
53369,-10.569945,-65.118384,niteroi,RJ
53369,-11.869991,-56.650358,niteroi,RJ
53369,-26.211336,-43.748545,niteroi,RJ
18161,-32.505044,-36.005862,cidade 2 pa,PA
18161,-31.699426,-61.02483,cidade 2 pa,PA
18161,-22.735745,-43.483562,cidade 2 pa,PA
61049,-14.227938,-56.587021,londrina,PR
61049,-9.353754,-69.806708,londrina,PR
12560,-26.664507,-63.932341,cidade 3 al,AL
12560,-10.751481,-73.272931,cidade 3 al,AL
12560,-28.582133,-37.43981,cidade 3 al,AL
59857,-12.954337,-52.89471,cidade 3 mt,MT
49139,-28.626644,-65.975895,caucaia,CE
49139,-20.796321,-36.735169,caucaia,CE
80545,-23.449766,-43.030831,cidade 2 am,AM
89069,-30.103017,-42.062603,cidade 3 es,ES
38760,-20.675285,-73.722905,cidade 2 mt,MT
38760,-16.805775,-50.106389,cidade 2 mt,MT
13804,-30.837427,-59.116509,joinville,SC
99016,-5.479356,-54.128128,rio verde,GO
99016,-13.619656,-54.270343,rio verde,GO
31632,-10.906508,-68.839105,cidade 3 am,AM
91560,-6.324733,-59.803154,cidade 1 rn,RN
91560,-29.475296,-51.353591,cidade 1 rn,RN
87580,-7.279046,-64.103769,cidade 2 pa,PA
87580,-13.072643,-72.277143,cidade 2 pa,PA
87580,-12.413339,-45.673749,cidade 2 pa,PA
21003,-22.823027,-46.943736,cidade 1 ma,MA
21003,-5.234902,-52.37409,cidade 1 ma,MA
21003,-27.445475,-39.352008,cidade 1 ma,MA
70515,-9.587948,-59.15888,cidade 1 ms,MS
59689,-14.233655,-73.013854,caxias do sul,RS
59689,-29.830346,-63.832147,caxias do sul,RS
52840,-16.546836,-34.939495,feira de santana,BA
52840,-29.260495,-46.094507,feira de santana,BA
52840,-8.064919,-35.260829,feira de santana,BA
46471,-11.49919,-46.15171,feira de santana,BA
43065,-5.735058,-60.427965,cidade 2 am,AM
12540,-32.984247,-73.248811,cidade 2 rn,RN
55870,-7.92758,-69.817779,cidade 1 es,ES
55870,-32.328948,-62.502847,cidade 1 es,ES
55870,-16.682487,-54.49896,cidade 1 es,ES
95426,-3.21484,-70.940023,curitiba,PR
95426,-31.69369,-46.108233,curitiba,PR
42411,-7.80461,-38.239715,sao paulo,SP
42411,-25.988444,-34.946739,sao paulo,SP
42411,-7.557314,-71.145822,sao paulo,SP
91439,-16.651624,-50.326696,porto alegre,RS
91439,-12.847315,-64.067507,porto alegre,RS
91439,-24.870012,-70.49979,porto alegre,RS
72070,-27.262556,-54.499606,porto alegre,RS
38569,-30.209967,-48.461369,cidade 3 pb,PB
38569,-9.385755,-46.198356,cidade 3 pb,PB
38569,-29.026011,-60.212727,cidade 3 pb,PB
58351,-7.770474,-61.837188,caucaia,CE
58351,-16.698535,-68.704466,caucaia,CE
25012,-14.486895,-41.600628,pelotas,RS
50768,-12.693209,-42.521043,cidade 1 am,AM
50888,-17.279904,-56.413005,belo horizonte,MG
50888,-5.690618,-60.83869,belo horizonte,MG
61990,-8.593165,-66.466689,cidade 2 ma,MA
19961,-23.4065,-42.798798,cidade 1 al,AL
19961,-6.23548,-49.177473,cidade 1 al,AL
19961,-7.264963,-46.022496,cidade 1 al,AL
41830,-26.595738,-40.327629,cidade 3 ma,MA
41830,-26.949997,-34.900316,cidade 3 ma,MA
41830,-31.504822,-66.832142,cidade 3 ma,MA
99687,-18.462062,-70.594681,uberlandia,MG
99687,-22.191886,-41.516244,uberlandia,MG
84177,-9.972929,-68.041603,cidade 1 ms,MS
84177,-23.493572,-57.644438,cidade 1 ms,MS
79827,-12.987151,-54.025291,cidade 2 am,AM
19038,-28.65266,-46.551433,caruaru,PE
19038,-12.621573,-57.611899,caruaru,PE
19038,-16.07463,-70.959931,caruaru,PE
11658,-28.46859,-56.320587,cidade 2 pa,PA
11658,-22.017569,-54.527689,cidade 2 pa,PA
11658,-27.144196,-44.087318,cidade 2 pa,PA
23833,-25.288037,-38.224675,cidade 2 rn,RN
93307,-31.115167,-47.714773,caruaru,PE
30052,-14.466437,-61.912957,cidade 2 mt,MT
78386,-31.755675,-41.634409,olinda,PE
78386,-14.702054,-61.098511,olinda,PE
78386,-11.845727,-43.008221,olinda,PE
90728,-23.039364,-50.420053,cidade 2 pi,PI
90728,-3.9574,-41.486705,cidade 2 pi,PI
90728,-19.290675,-64.148217,cidade 2 pi,PI
73372,-18.394063,-55.18905,cidade 3 rn,RN
73372,-23.089956,-73.89423,cidade 3 rn,RN
73372,-26.451511,-37.189046,cidade 3 rn,RN
87656,-9.090413,-62.830007,sobral,CE
87656,-30.00231,-66.343368,sobral,CE
21359,-12.42426,-73.645484,florianopolis,SC
21359,-29.574782,-48.583056,florianopolis,SC
41963,-20.193727,-59.977366,joinville,SC
89997,-8.780247,-36.203245,cidade 3 am,AM
89997,-27.85889,-65.190408,cidade 3 am,AM
89997,-12.135629,-55.183689,cidade 3 am,AM
13761,-27.92652,-59.439461,cidade 2 pb,PB
13761,-25.566122,-47.538404,cidade 2 pb,PB
33834,-33.251805,-43.437922,caucaia,CE
33834,-14.832078,-36.025887,caucaia,CE
43862,-25.728306,-56.346407,caucaia,CE
43862,-13.668355,-61.026906,caucaia,CE
43862,-20.802279,-62.232611,caucaia,CE
46211,-27.847145,-71.980401,ilheus,BA
35042,-25.237281,-72.585207,cidade 3 ma,MA
35042,-25.397634,-63.735306,cidade 3 ma,MA
35042,-5.740969,-59.900208,cidade 3 ma,MA
63271,-11.144862,-50.035941,nova iguacu,RJ
63271,-2.096545,-46.220353,nova iguacu,RJ
63271,-2.472586,-71.238768,nova iguacu,RJ
72402,-10.167666,-55.581526,fortaleza,CE
72402,-8.747841,-39.734484,fortaleza,CE
72402,-28.390611,-56.450645,fortaleza,CE
68743,-5.998697,-53.902598,cidade 2 ms,MS
68743,-23.003487,-45.642653,cidade 2 ms,MS
48566,-19.140974,-40.614603,cidade 1 am,AM
48566,-22.292132,-46.936171,cidade 1 am,AM
48566,-26.163005,-48.428767,cidade 1 am,AM
41890,-8.562854,-65.113833,maringa,PR
41890,-29.454043,-51.104591,maringa,PR
41890,-11.43989,-55.673597,maringa,PR
58368,-25.946005,-61.469329,ilheus,BA
58368,-24.968768,-40.772511,ilheus,BA
58368,-7.759058,-71.527103,ilheus,BA
55056,-4.726932,-43.816703,sobral,CE
55056,-7.209788,-52.957348,sobral,CE
55056,-33.460708,-46.573805,sobral,CE
82140,-16.7374,-46.42805,olinda,PE
82140,-4.956922,-49.654139,olinda,PE
82140,-2.765415,-49.021807,olinda,PE
69473,-16.281812,-56.251073,ilheus,BA
40217,-5.005383,-41.02845,joinville,SC
51359,-28.076605,-67.426691,belo horizonte,MG
51359,-19.51396,-55.70482,belo horizonte,MG
51359,-30.100707,-56.483651,belo horizonte,MG
34267,-27.449019,-43.321901,contagem,MG
34267,-16.354357,-60.552147,contagem,MG
73464,-29.740217,-39.365413,pelotas,RS
73464,-28.633429,-44.944322,pelotas,RS
78765,-21.487827,-55.377761,blumenau,SC
35443,-26.124135,-53.273161,cidade 1 ma,MA
33519,-27.321124,-62.49204,joinville,SC
33519,-11.132043,-35.528881,joinville,SC
80010,-15.315963,-40.919941,ilheus,BA
17146,-19.967268,-39.995083,belo horizonte,MG
17146,-10.498071,-57.313864,belo horizonte,MG
26551,-9.580548,-48.054838,cidade 3 ma,MA
26551,-13.760276,-52.569374,cidade 3 ma,MA
23446,-15.057007,-45.267503,cidade 2 ms,MS
23446,-18.211548,-37.828935,cidade 2 ms,MS
23446,-28.134945,-45.100873,cidade 2 ms,MS
47268,-29.222698,-61.700002,cidade 3 mt,MT
47268,-15.305219,-49.299447,cidade 3 mt,MT
47268,-27.842462,-63.826536,cidade 3 mt,MT
54657,-12.632213,-39.109921,caucaia,CE
54657,-15.868863,-56.697553,caucaia,CE
43092,-18.976188,-58.556264,porto alegre,RS
43092,-19.387145,-48.959472,porto alegre,RS
43092,-16.942345,-51.582436,porto alegre,RS
24953,-14.007189,-60.841285,cidade 2 al,AL
24953,-16.36211,-46.84843,cidade 2 al,AL
74454,-2.801673,-34.933414,cidade 2 rn,RN
99974,-17.461002,-35.53953,nova iguacu,RJ
99974,-32.863663,-49.649045,nova iguacu,RJ
99974,-24.258253,-71.155887,nova iguacu,RJ
83772,-25.974586,-60.562277,rio de janeiro,RJ
83772,-29.546977,-62.719285,rio de janeiro,RJ
